Movie Title,Release Date,Genre (1),Director (1),Cast (1),Budget ($),Box Office Revenue ($),Profit
The Hunger Games,23/03/2012,Action,Gary Ross,Jennifer Lawrence,78000000,694400000,616400000
The Hunger Games: Mockingjay – Part 1,10/11/2014,Sci-Fi,Francis Lawrence,Jennifer Lawrence,125000000,755400000,630400000
The Hunger Games: Mockingjay – Part 2,04/11/2015,Sci-Fi,Francis Lawrence,Jennifer Lawrence,160000000,653400000,493400000
The Huntsman: Winter's War,22/04/2016,Fantasy,Cedric Nicolas-Troyan,Chris Hemsworth,115000000,164600000,49600000
The Iceman,03/05/2013,Drama,Ariel Vromen,Morgan Land (screenplay),10000000,4400000,-5600000
The Identical,17/04/2014,Religious,Dustin Marcellino,Ray Liotta,16000000,2800000,-13200000
The Imitation Game,29/08/2014,Drama,Morten Tyldum,Benedict Cumberbatch,14000000,233600000,219600000
The Impossible,21/12/2012,Drama,Juan Antonio Bayona,Naomi Watts,45000000,180300000,135300000
The Incredible Burt Wonderstone,15/03/2013,Comedy,Don Scardino,Steve Carell,34000000,27400000,-6600000
The Infiltrator,13/07/2016,Drama,Brad Furman,Bryan Cranston,47500000,15200000,-32300000
The Intern,15/09/2015,Comedy,Nancy Meyers,Robert De Niro,44000000,194600000,150600000
The Internship,07/06/2013,Comedy,Shawn Levy,Vince Vaughn,58000000,93000000,35000000
The Interview,11/12/2014,Action,Seth Rogen,Seth Rogen,44000000,11300000,-32700000
The Judge,04/09/2014,Comedy,David Dobkin,Robert Downey,50000000,84400000,34400000
The Lady in the Van,04/12/2015,Comedy,Nicholas Hytner,Maggie Smith,6000000,41400000,35400000
The Last Exorcism Part II,01/03/2013,Horror,Ed Gass-Donnelly,Ashley Bell,5000000,15100000,10100000
The Last Stand,18/01/2013,Action,Kim Ji-woon,Arnold Schwarzenegger,45000000,48300000,3300000
The Last Witch Hunter,23/10/2015,Action,Breck Eisner,Vin Diesel,90000000,140400000,50400000
The Lazarus Effect,27/02/2015,Horror,David Gelb,Olivia Wilde,3300000,38400000,35100000
The Legend of Hercules,10/01/2014,Action,Renny Harlin,Kellan Lutz,70000000,61300000,-8700000
The Legend of Tarzan,01/07/2016,Action,David Yates,Alexander Skarsgard,180000000,352700000,172700000
The Lego Movie,01/02/2014,Family,Phil Lord,Chris Pratt,60000000,469200000,409200000
The Letters,04/12/2015,Drama,William Riead,Juliet Stevenson,1000000,1600000,600000
The Lucky One,20/04/2012,Drama,Scott Hicks,Zac Efron,25000000,99400000,74400000
The Man from U.N.C.L.E.,07/08/2015,Action,Guy Ritchie,Henry Cavill,75000000,109800000,34800000
The Man with the Iron Fists,02/11/2012,Action,RZA,Russell Crowe,20000000,20300000,300000
The Martian,11/09/2015,Sci-Fi,Ridley Scott,Matt Damon,108000000,630200000,522200000
The Master,14/09/2012,Drama,Paul Thomas Anderson,Philip Seymour Hoffman,32000000,28300000,-3700000
The Maze Runner,19/09/2014,Sci-Fi,Wes Ball,Dylan O'Brien,34000000,348300000,314300000
The Mermaid,08/02/2016,Sci-Fi,Stephen Chow,Deng Chao,60720000,553800000,493080000
The Monuments Men,07/02/2014,Drama,George Clooney,George Clooney,70000000,155000000,85000000
The Mortal Instruments: City of Bones,21/08/2013,Action,Harald Zwart,Lily Collins,60000000,90600000,30600000
The Night Before,20/11/2015,Comedy,Jonathan Levine,Joseph Gordon-Levitt,25000000,52400000,27400000
The November Man,27/08/2014,Thriller,Roger Donaldson,Pierce Brosnan,15000000,34800000,19800000
The Nut Job,11/01/2014,Family,Peter Lepeniotis,Will Arnett,42800000,120900000,78100000
The Oogieloves in the Big Balloon Adventure,29/08/2012,Family,Matthew Diamond,Toni Braxton,20000000,1100000,-18900000
The Other Woman,31/03/2014,Comedy,Nick Cassavetes,Cameron Diaz,40000000,196700000,156700000
The Peanuts Movie,01/11/2015,Animation,Steve Martino,Bill Melendez,99000000,246200000,147200000
The Perfect Guy,02/09/2015,Thriller,David M. Rosenthal,Sanaa Lathan,18000000,60300000,42300000
The Perfect Match,11/03/2016,Romance,Bille Woodruff,Terrence J,5000000,10400000,5400000
The Perks of Being a Wallflower,21/09/2012,Drama,Stephen Chbosky,Emma Watson,13000000,33400000,20400000
The Pirates! Band of Misfits,27/04/2012,Comedy,Peter Lord,Hugh Grant,55000000,123000000,68000000
The Place Beyond the Pines,29/03/2013,Crime,Derek Cianfrance,Ryan Gosling,15000000,47000000,32000000
The Possession,31/08/2012,Horror,Ole Bornedal,Jeffrey Dean Morgan,14000000,78500000,64500000
The Purge,31/05/2013,Sci-Fi,James DeMonaco,Ethan Hawke,3000000,89300000,86300000
The Purge: Election Year,01/07/2016,Horror,James DeMonaco,Frank Grillo,10000000,105600000,95600000
The Raid 2,21/01/2014,Action,Gareth Evans,Iko Uwais,4500000,6600000,2100000
The Raid: Redemption ₪,23/03/2012,Action,Gareth Evans,Iko Uwais,1100000,9140000,8040000
The Raven,27/04/2012,Thriller,James McTeigue,John Cusack,26000000,29700000,3700000
The Revenant,25/12/2015,Thriller,Alejandro G. Iñárritu,Leonardo DiCaprio,135000000,533000000,398000000
The Second Best Exotic Marigold Hotel,26/02/2015,Comedy,John Madden,Judi Dench,10000000,86000000,76000000
The Second Mother,25/01/2015,Drama,Anna Muylaert,Regina Casé,4000000,6200000,2200000
The Secret Life of Pets,08/07/2016,Adventure,Chris Renaud,Louis C.K.,75000000,724900000,649900000
The Secret World of Arrietty,17/02/2012,Adventure,Gary Rydstrom,Will Arnett,23000000,145600000,122600000
The Shallows,21/06/2016,Horror,Jaume Collet-Serra,Blake Lively,17000000,93200000,76200000
The Signal,20/01/2014,Sci-Fi,William Eubank,Brenton Thwaites,4000000,2420000,-1580000
The Single Moms Club,14/03/2014,Comedy,Tyler Perry,Tyler Perry,8000000,16300000,8300000
The Smurfs 2,31/07/2013,Adventure,Raja Gosnell,Neil Patrick Harris,105000000,347500000,242500000
The Spectacular Now,02/08/2013,Drama,James Ponsoldt,Miles Teller,2500000,6900000,4400000
The SpongeBob Movie: Sponge Out of Water,06/02/2015,Adventure,Paul Tibbitt,Paul Tibbitt (director),74000000,323400000,249400000
The Sweet Escape,10/06/2015,Comedy,Bruno Podalydès,Bruno Podalydès,3800000,3300000,-500000
The Theory of Everything,07/09/2014,Biography,James Marsh,Eddie Redmayne,15000000,123700000,108700000
